,MAE,MSE,RMSE,R2,set,modelo
0,413.2054794520548,349397.3698630137,591.0984434618431,0.2727312807556461,test,Decision Tree I
1,0.0,0.0,0.0,1.0,train,Decision Tree I
0,341.3114324582665,221939.1116761213,471.10414100931155,0.538034949827455,test,Decision tree II
1,365.33052354117166,269011.6141443967,518.6632955438399,0.42482767916700204,train,Decision tree II
0,330.4536485198725,229687.12083141357,479.2568422374516,0.5219075110397156,test,Decision tree III
1,275.483501006708,166994.63864417613,408.6497750448128,0.6429496392520744,train,Decision tree III
0,370.4142088915839,268309.0145179923,517.9855350470632,0.44151625003153383,test,Decision tree IV
1,334.80464053289563,221487.82329001548,470.6249284621624,0.5264380470592382,train,Decision tree IV
0,289.98959689181544,170195.98734624236,412.54816366848894,0.645737980837237,test,Random Forest I
1,259.3657281701618,136360.37978898053,369.27006348874335,0.7084485873877627,train,Random Forest I
