,MAE,MSE,RMSE,R2,set,modelo
0,811.5068493150685,1185822.9589041097,1088.954984792351,0.4506445051309943,test,Decision Tree I
1,0.0,0.0,0.0,1.0,train,Decision Tree I
0,794.8019433848173,963303.8283285801,981.4804268698282,0.5537308100277322,test,Decision tree II
1,786.5091391130534,969737.4047006867,984.7524585908312,0.6110285750421319,train,Decision tree II
0,674.8118687255245,719381.2026773415,848.1634292265504,0.6667326993217471,test,Decision tree III
1,537.6498368105842,488877.9160934206,699.1980521235887,0.803906151571018,train,Decision tree III
0,647.5750508078305,722366.1129793995,849.9212392800873,0.6653498817065087,test,Decision tree IV
1,555.3099012679637,507354.4536577451,712.2881816075184,0.7964950265490837,train,Decision tree IV
0,544.5927851314057,470940.8970956018,686.2513366803753,0.781827491502525,test,Random Forest I
1,486.656075017799,391361.66524018324,625.5890546038855,0.8430209004371197,train,Random Forest I
